"0","1"
"IntrCity SmartBus_708",""
"Seats","2024-12-27 14:43"
"1LB","1759"
"1LC","0"
"1UB","0"
"1UC","0"
"2LA","0"
"2LB","0"
"2LC","0"
"2UA","0"
"2UB","0"
"2UC","0"
"3LA","0"
"3LB","0"
"3LC","0"
"3UA","0"
"3UB","0"
"3UC","0"
"4LA","0"
"4LB","0"
"4LC","0"
"4UA","0"
"4UB","0"
"4UC","0"
"5LA","2019"
"5LB","1759"
"5LC","1759"
"5UA","0"
"5UB","0"
"5UC","0"
"6LA","0"
"6LB","1599"
"6LC","0"
"6UA","0"
"6UB","0"
"6UC","0"
"end of IntrCity SmartBus_708",""
"IntrCity SmartBus_155",""
"Seats","2024-12-27 14:43"
"1LB","0"
"1LC","0"
"1UB","1739"
"1UC","1739"
"2LA","0"
"2LB","0"
"2LC","0"
"2UA","1999"
"2UB","0"
"2UC","0"
"3LA","0"
"3LB","0"
"3LC","0"
"3UA","0"
"3UB","0"
"3UC","0"
"4LA","0"
"4LB","0"
"4LC","0"
"4UA","0"
"4UB","0"
"4UC","0"
"5LA","0"
"5LB","0"
"5LC","0"
"5UA","0"
"5UB","1739"
"5UC","1739"
"6LA","1999"
"6LB","1739"
"6LC","1739"
"6UA","1999"
"6UB","0"
"6UC","0"
"end of IntrCity SmartBus_155",""
"IntrCity SmartBus_980",""
"Seats","2024-12-27 14:43"
"1LB","1759"
"1LC","1759"
"1UB","1759"
"1UC","1759"
"2LA","2019"
"2LB","0"
"2LC","0"
"2UA","2019"
"2UB","0"
"2UC","0"
"3LA","0"
"3LB","1759"
"3LC","0"
"3UA","0"
"3UB","0"
"3UC","0"
"4LA","0"
"4LB","1859"
"4LC","1859"
"4UA","0"
"4UB","1759"
"4UC","1759"
"5LA","0"
"5LB","1759"
"5LC","1759"
"5UA","0"
"5UB","1759"
"5UC","1759"
"6LA","0"
"6LB","0"
"6LC","0"
"6UA","0"
"6UB","1499"
"6UC","0"
"end of IntrCity SmartBus_980",""
"IntrCity SmartBus_1047",""
"Seats","2024-12-27 14:43"
"1LB","1289"
"1LC","1289"
"1UB","1289"
"1UC","1289"
"2LA","0"
"2LB","0"
"2LC","0"
"2UA","0"
"2UB","0"
"2UC","0"
"3LA","0"
"3LB","0"
"3LC","0"
"3UA","0"
"3UB","0"
"3UC","0"
"4LA","0"
"4LB","0"
"4LC","0"
"4UA","1859"
"4UB","0"
"4UC","0"
"5LA","0"
"5LB","0"
"5LC","0"
"5UA","0"
"5UB","1289"
"5UC","1289"
"6LA","0"
"6LB","1029"
"6LC","1029"
"6UA","0"
"6UB","0"
"6UC","0"
"end of IntrCity SmartBus_1047",""
"IntrCity SmartBus_426",""
"Seats","2024-12-27 14:43"
"1D","0"
"1E","0"
"1F","0"
"1G","0"
"1UB","0"
"1UC","0"
"2D","0"
"2E","0"
"2F","879"
"2G","0"
"2LA","0"
"2UA","0"
"2UB","0"
"2UC","0"
"3D","879"
"3E","879"
"3F","879"
"3G","0"
"3LA","0"
"3UA","0"
"3UB","1839"
"3UC","1839"
"4D","879"
"4E","0"
"4F","879"
"4G","879"
"4LA","0"
"4UA","0"
"4UB","0"
"4UC","0"
"5D","799"
"5E","0"
"5F","0"
"5G","0"
"5LA","0"
"5UA","0"
"5UB","0"
"5UC","0"
"6D","0"
"6E","719"
"6F","719"
"6G","0"
"6LA","1819"
"6UA","1719"
"6UB","0"
"6UC","1479"
"end of IntrCity SmartBus_426",""
"IntrCity SmartBus_660",""
"Seats","2024-12-27 14:43"
"1LA","0"
"1LB","1239"
"1LC","1239"
"1UA","1429"
"1UB","0"
"1UC","0"
"2LA","0"
"2LB","0"
"2LC","0"
"2UA","0"
"2UB","1239"
"2UC","0"
"3LA","0"
"3LB","0"
"3LC","0"
"3UA","0"
"3UB","0"
"3UC","0"
"4LA","0"
"4LB","0"
"4LC","0"
"4UA","0"
"4UB","0"
"4UC","0"
"5LA","0"
"5LB","1239"
"5LC","0"
"5UA","0"
"5UB","1239"
"5UC","1239"
"6LA","0"
"6LB","0"
"6LC","1119"
"6UA","0"
"6UB","1049"
"6UC","1049"
"end of IntrCity SmartBus_660",""
"IntrCity SmartBus_686",""
"Seats","2024-12-27 14:43"
"1D","0"
"1E","0"
"1F","0"
"1G","0"
"1UB","1179"
"1UC","1179"
"2D","0"
"2E","0"
"2F","0"
"2G","0"
"2LA","0"
"2UA","1359"
"2UB","1009"
"2UC","0"
"3D","0"
"3E","0"
"3F","819"
"3G","0"
"3LA","0"
"3UA","0"
"3UB","0"
"3UC","0"
"4D","0"
"4E","0"
"4F","0"
"4G","0"
"4LA","0"
"4UA","1359"
"4UB","1179"
"4UC","1179"
"5D","0"
"5E","0"
"5F","819"
"5G","0"
"5LA","0"
"5UA","0"
"5UB","1179"
"5UC","1179"
"6D","739"
"6E","0"
"6F","739"
"6G","739"
"6LA","1219"
"6UA","0"
"6UB","1009"
"6UC","0"
"end of IntrCity SmartBus_686",""
"IntrCity SmartBus_810",""
"Seats","2024-12-27 14:43"
"1LB","0"
"1LC","1219"
"1UB","1219"
"1UC","1219"
"2LA","0"
"2LB","0"
"2LC","0"
"2UA","0"
"2UB","0"
"2UC","0"
"3LA","0"
"3LB","0"
"3LC","0"
"3UA","0"
"3UB","0"
"3UC","0"
"4LA","0"
"4LB","0"
"4LC","0"
"4UA","0"
"4UB","1219"
"4UC","0"
"5LA","0"
"5LB","1219"
"5LC","0"
"5UA","0"
"5UB","0"
"5UC","0"
"6LA","1259"
"6LB","1099"
"6LC","1099"
"6UA","1189"
"6UB","1039"
"6UC","1039"
"end of IntrCity SmartBus_810",""
"IntrCity SmartBus_832",""
"Seats","2024-12-27 14:43"
"1D","0"
"1E","0"
"1F","0"
"1G","0"
"1UB","1179"
"1UC","1179"
"2D","0"
"2E","0"
"2F","0"
"2G","0"
"2LA","0"
"2UA","0"
"2UB","1179"
"2UC","1179"
"3D","0"
"3E","0"
"3F","0"
"3G","0"
"3LA","0"
"3UA","0"
"3UB","0"
"3UC","0"
"4D","729"
"4E","0"
"4F","809"
"4G","809"
"4LA","0"
"4UA","0"
"4UB","0"
"4UC","0"
"5D","809"
"5E","809"
"5F","0"
"5G","809"
"5LA","0"
"5UA","1359"
"5UB","1179"
"5UC","0"
"6D","0"
"6E","0"
"6F","0"
"6G","0"
"6LA","1219"
"6UA","0"
"6UB","0"
"6UC","0"
"end of IntrCity SmartBus_832",""
"IntrCity SmartBus_226",""
"Seats","2024-12-27 14:43"
"1D","839"
"1E","0"
"1F","0"
"1G","0"
"1UB","0"
"1UC","0"
"2D","0"
"2E","0"
"2F","839"
"2G","0"
"2LA","1489"
"2UA","0"
"2UB","1229"
"2UC","1229"
"3D","0"
"3E","0"
"3F","0"
"3G","0"
"3LA","0"
"3UA","0"
"3UB","1229"
"3UC","1229"
"4D","0"
"4E","0"
"4F","839"
"4G","839"
"4LA","0"
"4UA","0"
"4UB","1229"
"4UC","0"
"5D","0"
"5E","0"
"5F","0"
"5G","0"
"5LA","1419"
"5UA","0"
"5UB","0"
"5UC","0"
"6D","0"
"6E","0"
"6F","0"
"6G","0"
"6LA","0"
"6UA","0"
"6UB","1049"
"6UC","0"
"end of IntrCity SmartBus_226",""
"IntrCity SmartBus_485",""
"Seats","2024-12-27 14:43"
"1LB","1269"
"1LC","1269"
"1UB","0"
"1UC","1149"
"2LA","1539"
"2LB","1379"
"2LC","1379"
"2UA","0"
"2UB","0"
"2UC","0"
"3LA","0"
"3LB","1379"
"3LC","1379"
"3UA","0"
"3UB","1209"
"3UC","0"
"4LA","0"
"4LB","1379"
"4LC","1379"
"4UA","0"
"4UB","0"
"4UC","0"
"5LA","1459"
"5LB","1269"
"5LC","1269"
"5UA","1329"
"5UB","0"
"5UC","0"
"6LA","0"
"6LB","1039"
"6LC","1039"
"6UA","1129"
"6UB","0"
"6UC","0"
"end of IntrCity SmartBus_485",""
"IntrCity SmartBus_637",""
"Seats","2024-12-27 14:43"
"1LB","0"
"1LC","0"
"1UB","0"
"1UC","0"
"2LA","0"
"2LB","0"
"2LC","0"
"2UA","1469"
"2UB","1279"
"2UC","1279"
"3LA","0"
"3LB","0"
"3LC","0"
"3UA","1469"
"3UB","1279"
"3UC","1279"
"4LA","0"
"4LB","1459"
"4LC","0"
"4UA","1469"
"4UB","1279"
"4UC","1279"
"5LA","0"
"5LB","0"
"5LC","0"
"5UA","1399"
"5UB","1219"
"5UC","0"
"6LA","1259"
"6LB","1099"
"6LC","1099"
"6UA","1189"
"6UB","1039"
"6UC","1039"
"end of IntrCity SmartBus_637",""
"IntrCity SmartBus_817",""
"Seats","2024-12-27 14:43"
"1LA","1479"
"1LB","0"
"1LC","0"
"1UA","1359"
"1UB","959"
"1UC","0"
"2LA","0"
"2LB","1349"
"2LC","1349"
"2UA","1359"
"2UB","1179"
"2UC","1179"
"3LA","0"
"3LB","0"
"3LC","0"
"3UA","0"
"3UB","1179"
"3UC","1179"
"4LA","1479"
"4LB","1349"
"4LC","1349"
"4UA","1359"
"4UB","0"
"4UC","0"
"5LA","1419"
"5LB","1239"
"5LC","1239"
"5UA","1289"
"5UB","1119"
"5UC","0"
"6LA","1159"
"6LB","1009"
"6LC","1009"
"6UA","0"
"6UB","959"
"6UC","959"
"end of IntrCity SmartBus_817",""
"IntrCity SmartBus_595",""
"Seats","2024-12-27 14:43"
"1LB","0"
"1LC","0"
"1UB","0"
"1UC","0"
"2LA","0"
"2LB","0"
"2LC","0"
"2UA","1940"
"2UB","0"
"2UC","0"
"3LA","0"
"3LB","0"
"3LC","0"
"3UA","0"
"3UB","0"
"3UC","0"
"4LA","0"
"4LB","0"
"4LC","0"
"4UA","0"
"4UB","0"
"4UC","0"
"5LA","0"
"5LB","0"
"5LC","0"
"5UA","0"
"5UB","0"
"5UC","0"
"6LA","0"
"6LB","0"
"6LC","0"
"6UA","0"
"6UB","0"
"6UC","0"
"end of IntrCity SmartBus_595",""
"IntrCity SmartBus_709",""
"Seats","2024-12-27 14:43"
"1LB","0"
"1LC","0"
"1UB","1039"
"1UC","0"
"2LA","0"
"2LB","0"
"2LC","0"
"2UA","1399"
"2UB","1279"
"2UC","1279"
"3LA","0"
"3LB","0"
"3LC","0"
"3UA","1469"
"3UB","0"
"3UC","0"
"4LA","0"
"4LB","0"
"4LC","0"
"4UA","0"
"4UB","1279"
"4UC","1279"
"5LA","0"
"5LB","0"
"5LC","0"
"5UA","1399"
"5UB","1219"
"5UC","1219"
"6LA","0"
"6LB","0"
"6LC","0"
"6UA","1049"
"6UB","0"
"6UC","0"
"end of IntrCity SmartBus_709",""
"IntrCity SmartBus_156",""
"Seats","2024-12-27 14:43"
"1LB","1099"
"1LC","1099"
"1UB","1049"
"1UC","1049"
"2LA","0"
"2LB","0"
"2LC","0"
"2UA","1269"
"2UB","0"
"2UC","0"
"3LA","0"
"3LB","0"
"3LC","0"
"3UA","0"
"3UB","0"
"3UC","0"
"4LA","0"
"4LB","1159"
"4LC","1159"
"4UA","0"
"4UB","0"
"4UC","1099"
"5LA","0"
"5LB","1099"
"5LC","1099"
"5UA","0"
"5UB","1049"
"5UC","1049"
"6LA","1089"
"6LB","0"
"6LC","0"
"6UA","0"
"6UB","0"
"6UC","0"
"end of IntrCity SmartBus_156",""
"IntrCity SmartBus_981",""
"Seats","2024-12-27 14:43"
"1LB","1259"
"1LC","1259"
"1UB","0"
"1UC","0"
"2LA","0"
"2LB","1319"
"2LC","1319"
"2UA","1539"
"2UB","1199"
"2UC","1199"
"3LA","0"
"3LB","0"
"3LC","0"
"3UA","0"
"3UB","0"
"3UC","0"
"4LA","0"
"4LB","0"
"4LC","1319"
"4UA","0"
"4UB","0"
"4UC","0"
"5LA","0"
"5LB","0"
"5LC","0"
"5UA","0"
"5UB","1149"
"5UC","1149"
"6LA","0"
"6LB","859"
"6LC","0"
"6UA","0"
"6UB","0"
"6UC","829"
"end of IntrCity SmartBus_981",""
"IntrCity SmartBus_687",""
"Seats","2024-12-27 14:43"
"1D","0"
"1E","0"
"1F","719"
"1G","0"
"1UB","1209"
"1UC","0"
"2D","0"
"2E","0"
"2F","0"
"2G","0"
"2LA","1459"
"2UA","0"
"2UB","0"
"2UC","1209"
"3D","0"
"3E","0"
"3F","0"
"3G","0"
"3LA","0"
"3UA","0"
"3UB","0"
"3UC","0"
"4D","0"
"4E","0"
"4F","799"
"4G","0"
"4LA","0"
"4UA","0"
"4UB","1209"
"4UC","0"
"5D","799"
"5E","0"
"5F","0"
"5G","0"
"5LA","0"
"5UA","0"
"5UB","1209"
"5UC","1209"
"6D","719"
"6E","719"
"6F","719"
"6G","719"
"6LA","0"
"6UA","0"
"6UB","1029"
"6UC","0"
"end of IntrCity SmartBus_687",""
"IntrCity SmartBus_1046",""
"Seats","2024-12-27 14:43"
"1LB","0"
"1LC","0"
"1UB","1159"
"1UC","1159"
"2LA","0"
"2LB","0"
"2LC","0"
"2UA","0"
"2UB","1159"
"2UC","1159"
"3LA","0"
"3LB","0"
"3LC","0"
"3UA","0"
"3UB","1159"
"3UC","1159"
"4LA","0"
"4LB","1039"
"4LC","0"
"4UA","0"
"4UB","1159"
"4UC","1159"
"5LA","1399"
"5LB","1159"
"5LC","1159"
"5UA","0"
"5UB","1159"
"5UC","1159"
"6LA","0"
"6LB","0"
"6LC","929"
"6UA","0"
"6UB","869"
"6UC","0"
"end of IntrCity SmartBus_1046",""
"IntrCity SmartBus_232",""
"Seats","2024-12-27 14:43"
"1LB","1109"
"1LC","1109"
"1UB","1109"
"1UC","1109"
"2LA","1339"
"2LB","0"
"2LC","0"
"2UA","0"
"2UB","1109"
"2UC","1109"
"3LA","0"
"3LB","0"
"3LC","0"
"3UA","0"
"3UB","0"
"3UC","0"
"4LA","0"
"4LB","0"
"4LC","0"
"4UA","0"
"4UB","0"
"4UC","1109"
"5LA","1279"
"5LB","1109"
"5LC","1109"
"5UA","1279"
"5UB","1109"
"5UC","1109"
"6LA","1149"
"6LB","999"
"6LC","999"
"6UA","1089"
"6UB","949"
"6UC","949"
"end of IntrCity SmartBus_232",""
"IntrCity SmartBus_425",""
"Seats","2024-12-27 14:43"
"1D","0"
"1E","0"
"1F","0"
"1G","799"
"1UB","1159"
"1UC","1159"
"2D","0"
"2E","799"
"2F","0"
"2G","799"
"2LA","0"
"2UA","1329"
"2UB","1159"
"2UC","0"
"3D","0"
"3E","0"
"3F","799"
"3G","0"
"3LA","0"
"3UA","0"
"3UB","0"
"3UC","0"
"4D","799"
"4E","0"
"4F","799"
"4G","799"
"4LA","0"
"4UA","0"
"4UB","1159"
"4UC","1159"
"5D","0"
"5E","0"
"5F","0"
"5G","0"
"5LA","0"
"5UA","0"
"5UB","1159"
"5UC","1159"
"6D","0"
"6E","719"
"6F","0"
"6G","0"
"6LA","1199"
"6UA","1129"
"6UB","989"
"6UC","0"
"end of IntrCity SmartBus_425",""
"IntrCity SmartBus_659",""
"Seats","2024-12-27 14:43"
"1LA","0"
"1LB","0"
"1LC","0"
"1UA","1369"
"1UB","0"
"1UC","1189"
"2LA","0"
"2LB","1249"
"2LC","1249"
"2UA","1369"
"2UB","0"
"2UC","1009"
"3LA","1439"
"3LB","0"
"3LC","0"
"3UA","0"
"3UB","1189"
"3UC","0"
"4LA","0"
"4LB","0"
"4LC","0"
"4UA","0"
"4UB","1189"
"4UC","1189"
"5LA","0"
"5LB","1189"
"5LC","1189"
"5UA","1369"
"5UB","0"
"5UC","0"
"6LA","0"
"6LB","1069"
"6LC","0"
"6UA","0"
"6UB","0"
"6UC","0"
"end of IntrCity SmartBus_659",""
"IntrCity SmartBus_818",""
"Seats","2024-12-27 14:43"
"1LA","0"
"1LB","0"
"1LC","1339"
"1UA","1469"
"1UB","1219"
"1UC","0"
"2LA","0"
"2LB","0"
"2LC","0"
"2UA","0"
"2UB","0"
"2UC","0"
"3LA","0"
"3LB","1459"
"3LC","1459"
"3UA","0"
"3UB","0"
"3UC","0"
"4LA","0"
"4LB","1459"
"4LC","1459"
"4UA","1469"
"4UB","0"
"4UC","0"
"5LA","0"
"5LB","1339"
"5LC","1339"
"5UA","0"
"5UB","1219"
"5UC","1219"
"6LA","1259"
"6LB","1089"
"6LC","0"
"6UA","1189"
"6UB","1029"
"6UC","1029"
"end of IntrCity SmartBus_818",""
"IntrCity SmartBus_831",""
"Seats","2024-12-27 14:43"
"1D","0"
"1E","0"
"1F","759"
"1G","759"
"1UB","0"
"1UC","0"
"2D","0"
"2E","0"
"2F","0"
"2G","0"
"2LA","0"
"2UA","1469"
"2UB","1279"
"2UC","0"
"3D","0"
"3E","0"
"3F","759"
"3G","0"
"3LA","0"
"3UA","0"
"3UB","0"
"3UC","0"
"4D","759"
"4E","0"
"4F","759"
"4G","759"
"4LA","0"
"4UA","0"
"4UB","0"
"4UC","0"
"5D","759"
"5E","759"
"5F","0"
"5G","759"
"5LA","0"
"5UA","1469"
"5UB","0"
"5UC","0"
"6D","679"
"6E","0"
"6F","0"
"6G","0"
"6LA","0"
"6UA","0"
"6UB","1089"
"6UC","1089"
"end of IntrCity SmartBus_831",""
"IntrCity SmartBus_484",""
"Seats","2024-12-27 14:43"
"1LB","0"
"1LC","0"
"1UB","1119"
"1UC","1119"
"2LA","1349"
"2LB","0"
"2LC","0"
"2UA","0"
"2UB","1119"
"2UC","1119"
"3LA","0"
"3LB","0"
"3LC","0"
"3UA","0"
"3UB","1119"
"3UC","0"
"4LA","0"
"4LB","0"
"4LC","0"
"4UA","0"
"4UB","0"
"4UC","0"
"5LA","0"
"5LB","1119"
"5LC","1119"
"5UA","0"
"5UB","1119"
"5UC","1119"
"6LA","0"
"6LB","1009"
"6LC","1009"
"6UA","1099"
"6UB","959"
"6UC","959"
"end of IntrCity SmartBus_484",""
"IntrCity SmartBus_699",""
"Seats","2024-12-27 14:43"
"1D","0"
"1E","0"
"1F","579"
"1G","0"
"1UB","1009"
"1UC","1009"
"2D","579"
"2E","0"
"2F","0"
"2G","0"
"2LA","0"
"2UA","0"
"2UB","0"
"2UC","859"
"3D","639"
"3E","0"
"3F","0"
"3G","0"
"3LA","0"
"3UA","0"
"3UB","0"
"3UC","0"
"4D","0"
"4E","579"
"4F","639"
"4G","0"
"4LA","0"
"4UA","0"
"4UB","0"
"4UC","0"
"5D","639"
"5E","0"
"5F","639"
"5G","0"
"5LA","1159"
"5UA","0"
"5UB","0"
"5UC","0"
"6D","0"
"6E","0"
"6F","579"
"6G","0"
"6LA","1049"
"6UA","0"
"6UB","0"
"6UC","0"
"end of IntrCity SmartBus_699",""
"IntrCity SmartBus_677",""
"Seats","2024-12-27 14:43"
"10L","0"
"10U","0"
"11L","959"
"11U","0"
"12L","959"
"12U","0"
"13L","0"
"13U","0"
"14L","919"
"14U","919"
"15L","919"
"15U","919"
"16L","999"
"16U","939"
"17L","819"
"17U","779"
"18L","819"
"18U","779"
"1L","0"
"1U","0"
"2L","0"
"2U","779"
"3L","919"
"3U","0"
"4L","0"
"4U","0"
"5L","0"
"5U","779"
"6L","0"
"6U","0"
"7L","0"
"7U","0"
"8L","0"
"8U","0"
"9L","0"
"9U","0"
"end of IntrCity SmartBus_677",""
"IntrCity SmartBus_604",""
"Seats","2024-12-27 14:43"
"1LA","0"
"1LB","0"
"1LC","0"
"1UA","1169"
"1UB","899"
"1UC","899"
"2LA","0"
"2LB","0"
"2LC","0"
"2UA","0"
"2UB","0"
"2UC","0"
"3LA","0"
"3LB","1079"
"3LC","1079"
"3UA","0"
"3UB","939"
"3UC","939"
"4LA","0"
"4LB","1079"
"4LC","1079"
"4UA","0"
"4UB","939"
"4UC","939"
"5LA","0"
"5LB","1079"
"5LC","1079"
"5UA","0"
"5UB","939"
"5UC","939"
"6LA","1219"
"6LB","989"
"6LC","989"
"6UA","0"
"6UB","0"
"6UC","899"
"7LA","0"
"7LB","809"
"7LC","0"
"7UA","949"
"7UB","0"
"7UC","0"
"end of IntrCity SmartBus_604",""
"IntrCity SmartBus_596",""
"Seats","2024-12-27 14:43"
"1LB","0"
"1LC","1049"
"1UB","0"
"1UC","0"
"2LA","0"
"2LB","0"
"2LC","0"
"2UA","0"
"2UB","0"
"2UC","0"
"3LA","0"
"3LB","0"
"3LC","0"
"3UA","0"
"3UB","0"
"3UC","0"
"4LA","0"
"4LB","0"
"4LC","0"
"4UA","0"
"4UB","0"
"4UC","0"
"5LA","0"
"5LB","1159"
"5LC","0"
"5UA","0"
"5UB","0"
"5UC","0"
"6LA","0"
"6LB","0"
"6LC","0"
"6UA","0"
"6UB","0"
"6UC","0"
"end of IntrCity SmartBus_596",""
"IntrCity SmartBus_475",""
"Seats","2024-12-27 14:43"
"1LB","0"
"1LC","0"
"1UB","0"
"1UC","0"
"2LA","0"
"2LB","0"
"2LC","0"
"2UA","1224"
"2UB","1107"
"2UC","0"
"3LA","0"
"3LB","0"
"3LC","0"
"3UA","0"
"3UB","0"
"3UC","0"
"4LA","0"
"4LB","0"
"4LC","0"
"4UA","0"
"4UB","0"
"4UC","0"
"5LA","1224"
"5LB","1166"
"5LC","0"
"5UA","1224"
"5UB","1166"
"5UC","1166"
"6LA","0"
"6LB","0"
"6LC","0"
"6UA","0"
"6UB","0"
"6UC","0"
"end of IntrCity SmartBus_475",""
"IntrCity SmartBus_408",""
"Seats","2024-12-27 14:43"
"1LB","0"
"1LC","0"
"1UB","935"
"1UC","935"
"2LA","0"
"2LB","0"
"2LC","0"
"2UA","0"
"2UB","935"
"2UC","935"
"3LA","0"
"3LB","0"
"3LC","0"
"3UA","0"
"3UB","0"
"3UC","0"
"4LA","0"
"4LB","0"
"4LC","0"
"4UA","942"
"4UB","0"
"4UC","0"
"5LA","942"
"5LB","0"
"5LC","0"
"5UA","942"
"5UB","0"
"5UC","0"
"6LA","800"
"6LB","0"
"6LC","0"
"6UA","799"
"6UB","799"
"6UC","0"
"end of IntrCity SmartBus_408",""
"IntrCity SmartBus_600",""
"Seats","2024-12-27 14:43"
"1LB","0"
"1LC","0"
"1UB","844"
"1UC","844"
"2LA","0"
"2LB","0"
"2LC","0"
"2UA","887"
"2UB","844"
"2UC","844"
"3LA","0"
"3LB","0"
"3LC","0"
"3UA","0"
"3UB","0"
"3UC","0"
"4LA","0"
"4LB","0"
"4LC","0"
"4UA","887"
"4UB","0"
"4UC","0"
"5LA","887"
"5LB","0"
"5LC","0"
"5UA","887"
"5UB","844"
"5UC","844"
"6LA","0"
"6LB","0"
"6LC","799"
"6UA","0"
"6UB","0"
"6UC","0"
"end of IntrCity SmartBus_600",""